
公告,#genre#
CCTV1,http://60.220.167.112:8085/rtp/226.0.2.16:8040
CCTV1,http://60.220.167.112:8085/rtp/226.0.2.18:8056
CCTV2,http://60.220.167.112:8085/rtp/226.0.2.19:8064
CCTV3,http://60.220.167.112:8085/rtp/226.0.2.20:8072
CCTV4,http://60.220.167.112:8085/rtp/226.0.2.21:8080
CCTV5,http://60.220.167.112:8085/rtp/226.0.2.22:8088
CCTV6,http://60.220.167.112:8085/rtp/226.0.2.23:8096
CCTV7,http://60.220.167.112:8085/rtp/226.0.2.24:8104
CCTV8,http://60.220.167.112:8085/rtp/226.0.2.25:8112
CCTV9,http://60.220.167.112:8085/rtp/226.0.2.26:8120
CCTV10,http://60.220.167.112:8085/rtp/226.0.2.27:8128
CCTV11,http://60.220.167.112:8085/rtp/226.0.2.28:8136
CCTV12,http://60.220.167.112:8085/rtp/226.0.2.29:8144
CCTV13,http://60.220.167.112:8085/rtp/226.0.2.30:8152
CCTV14,http://60.220.167.112:8085/rtp/226.0.2.31:8160
CCTV15,http://60.220.167.112:8085/rtp/226.0.2.32:8168
CCTV17,http://60.220.167.112:8085/rtp/226.0.2.207:9568
CETV1,http://60.220.167.112:8085/rtp/226.0.2.68:8456
CETV2,http://60.220.167.112:8085/rtp/226.0.2.69:8464
CETV4,http://60.220.167.112:8085/rtp/226.0.2.70:8472
CETV早期教育,http://60.220.167.112:8085/rtp/226.0.2.99:8704
CETV1,http://60.220.167.112:8085/rtp/226.0.2.181:9360
CCTV央视台球,http://60.220.167.112:8085/rtp/226.0.2.216:9640
CCTV高网,http://60.220.167.112:8085/rtp/226.0.2.217:9648
CCTV电视指南,http://60.220.167.112:8085/rtp/226.0.2.218:9656
CCTV央视文化精品,http://60.220.167.112:8085/rtp/226.0.2.219:9664
CCTV风云音乐,http://60.220.167.112:8085/rtp/226.0.2.220:9672
CCTV第一剧场,http://60.220.167.112:8085/rtp/226.0.2.221:9680
CCTV世界地理,http://60.220.167.112:8085/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.220.167.112:8085/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://60.220.167.112:8085/rtp/226.0.2.224:9704
CCTV风云足球,http://60.220.167.112:8085/rtp/226.0.2.225:9712
CCTV女性时尚,http://60.220.167.112:8085/rtp/226.0.2.226:9720
CCTV风云剧场,http://60.220.167.112:8085/rtp/226.0.2.227:9728
CCTV1,http://171.213.36.107:8888/udp/239.93.0.184:5140
CCTV2,http://171.213.36.107:8888/udp/239.93.1.23:6000
CCTV3,http://171.213.36.107:8888/udp/239.93.1.11:2223
CCTV4,http://171.213.36.107:8888/udp/239.93.1.105:5140
CCTV5,http://171.213.36.107:8888/udp/239.93.42.37:5140
CCTV6,http://171.213.36.107:8888/udp/239.93.1.13:2226
CCTV7,http://171.213.36.107:8888/udp/239.93.1.67:5140
